                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88351,                0.92137,                 1.2931,                0.79145,                0.82504,                0.79652,                0.49511,                 1.3219,                 1.0588,                 1.7912,              0.0016634,              0.0016634,              0.0016634
                     36,                0.84562,                0.85478,                 1.2845,                0.74266,                0.82609,                0.82352,                0.52069,                 1.2927,                 1.1125,                 1.7743,              0.0016535,              0.0016535,              0.0016535
                     37,                0.91449,                0.87682,                  1.339,                0.66504,                0.86957,                 0.8223,                0.51464,                  1.342,                0.97343,                 1.7941,              0.0016436,              0.0016436,              0.0016436
                     38,                0.88291,                0.91057,                 1.2963,                0.78499,                0.79403,                0.90249,                0.61198,                 1.2586,                0.89797,                 1.6392,              0.0016337,              0.0016337,              0.0016337
                     39,                0.90423,                0.85953,                 1.2876,                0.85482,                0.78261,                0.90271,                0.59381,                  1.288,                0.96613,                 1.6577,              0.0016238,              0.0016238,              0.0016238
                     40,                 0.8873,                0.86235,                 1.3035,                0.84849,                0.82609,                0.87181,                0.59374,                 1.2179,                0.91194,                 1.5762,              0.0016139,              0.0016139,              0.0016139
                     41,                0.88848,                0.83805,                 1.2805,                0.91884,                0.86957,                0.86866,                0.59653,                 1.1688,                0.92033,                 1.5533,               0.001604,               0.001604,               0.001604
                     42,                0.84955,                0.80224,                 1.2812,                0.89748,                0.86957,                0.91331,                0.64937,                 1.1421,                0.87644,                 1.5335,              0.0015941,              0.0015941,              0.0015941
                     43,                0.90904,                0.85454,                  1.343,                0.95205,                0.86346,                 0.8995,                0.57749,                  1.214,                0.88058,                 1.5902,              0.0015842,              0.0015842,              0.0015842
                     44,                0.82598,                0.81141,                 1.2254,                0.89927,                0.86957,                0.89181,                0.56171,                 1.2723,                0.96073,                 1.7022,              0.0015743,              0.0015743,              0.0015743
                     45,                0.82471,                0.82827,                 1.2486,                0.87304,                0.89735,                0.91582,                0.51839,                  1.368,                0.87282,                 1.8878,              0.0015644,              0.0015644,              0.0015644
                     46,                0.85377,                0.80476,                 1.2634,                0.83832,                0.90206,                0.88074,                0.52816,                 1.3994,                0.88935,                  1.884,              0.0015545,              0.0015545,              0.0015545
                     47,                0.82752,                0.79033,                  1.262,                0.85048,                0.82609,                0.86049,                0.53172,                 1.3284,                0.92988,                 1.7804,              0.0015446,              0.0015446,              0.0015446
                     48,                0.81884,                0.84993,                 1.2961,                0.86566,                0.91304,                0.86146,                0.55794,                 1.3945,                 1.0086,                 1.7564,              0.0015347,              0.0015347,              0.0015347
                     49,                0.80065,                0.76501,                 1.2262,                0.89585,                0.86957,                0.91401,                0.58147,                 1.3147,                0.85443,                  1.718,              0.0015248,              0.0015248,              0.0015248
                     50,                0.74164,                0.75308,                 1.2147,                 0.9809,                0.86957,                0.92359,                0.61632,                 1.2954,                0.93588,                 1.7639,              0.0015149,              0.0015149,              0.0015149
                     51,                0.81668,                0.74163,                 1.2495,                0.86138,                0.81101,                0.87316,                0.52498,                  1.401,                 1.1599,                 1.9953,               0.001505,               0.001505,               0.001505
                     52,                0.92054,                  0.841,                 1.2942,                0.84919,                0.73466,                0.78286,                 0.4966,                 1.4203,                 1.0948,                 1.9184,              0.0014951,              0.0014951,              0.0014951
                     53,                0.81897,                0.80366,                 1.2506,                0.98951,                0.73913,                0.91209,                0.53184,                 1.4211,                 1.0109,                 1.8862,              0.0014852,              0.0014852,              0.0014852
                     54,                0.78167,                0.74013,                 1.2309,                0.83747,                0.91304,                0.92107,                0.54501,                 1.3802,                0.94151,                 1.8225,              0.0014753,              0.0014753,              0.0014753
                     55,                0.78306,                0.73121,                 1.1922,                0.90412,                0.78261,                 0.9138,                0.59709,                 1.2022,                0.99938,                 1.5797,              0.0014654,              0.0014654,              0.0014654
                     56,                0.75508,                0.76475,                 1.2267,                0.94559,                0.86957,                 0.9146,                0.60624,                 1.2437,                0.88779,                 1.6861,              0.0014555,              0.0014555,              0.0014555
                     57,                0.75544,                0.68907,                 1.1928,                0.93257,                0.82609,                 0.8796,                 0.5901,                 1.2713,                 1.0733,                 1.6215,              0.0014456,              0.0014456,              0.0014456
                     58,                0.71597,                0.67205,                 1.1842,                0.84077,                0.78261,                 0.8055,                0.52372,                  1.285,                 1.1877,                  1.657,              0.0014357,              0.0014357,              0.0014357
                     59,                0.75412,                0.65072,                 1.2223,                 0.8767,                0.82609,                0.89764,                   0.64,                 1.1669,                0.93346,                  1.525,              0.0014258,              0.0014258,              0.0014258
                     60,                 0.7048,                0.63272,                 1.1388,                0.83866,                0.90434,                0.94398,                0.65003,                 1.0811,                0.77488,                 1.4748,              0.0014159,              0.0014159,              0.0014159
